BreedName,Status,Pet
Yorkshire Terrier,Active,Dog
Wire Hair Terrier,Active,Dog
Wire Fox Terrier,Active,Dog
Whippet,Active,Dog
Wheaton Terrier,Active,Dog
West Highland Terrier (Westie),Active,Dog
Welsh Terrier,Active,Dog
Weimaraner,Active,Dog
Vizsla,Active,Dog
Tibetan Terrier,Active,Dog
Tibetan Spaniel,Active,Dog
Terrier Mix,Active,Dog
Staffordshire Terrier,Active,Dog
St. Bernard,Active,Dog
Springer Spaniel Welsh,Active,Dog
Springer Spaniel Mix,Active,Dog
Springer Spaniel English,Active,Dog
Spitz,Active,Dog
Spanish Water Dog,Active,Dog
Snoodle,Active,Dog
Silver Lab,Active,Dog
Silky Terrier,Active,Dog
Siberian Husky,Active,Dog
Shiloh Shepherd,Active,Dog
Shih Tzu,Active,Dog
Shiba Inu,Active,Dog
Shetland Sheepdog (Sheltie),Active,Dog
Shepherd Mix,Active,Dog
Sheepdog,Active,Dog
Sharpei,Active,Dog
Scottish Terrier (Scottie),Active,Dog
Schnoodle,Active,Dog
Schnauzer:Standard,Active,Dog
Schnauzer:Miniature,Active,Dog
Schnauzer:Giant,Active,Dog
Schipperke,Active,Dog
Samoyed,Active,Dog
Saluki,Active,Dog
Russian Black Terrier,Active,Dog
Rottweiler,Active,Dog
Rhodesian Ridgeback,Active,Dog
Retriever mix,Active,Dog
Red Australian Heele,Active,Dog
Rat Terrier,Active,Dog
Pug,Active,Dog
Portugese Water Dog,Active,Dog
Poodlepointer,Active,Dog
Poodle:Standard,Active,Dog
Poodle:Miniature,Active,Dog
Pomeranian,Active,Dog
Polish Lowland Sheepdog,Active,Dog
Pointer,Active,Dog
Pit Bull mix,Active,Dog
Pit Bull,Active,Dog
Pharaoh Hound,Active,Dog
Petit Basset Griffon Vendeen,Active,Dog
Pekingnese,Active,Dog
Peek-a-poo,Active,Dog
Patterdale Terrier,Active,Dog
Parson Russell Terrier,Active,Dog
Papillon,Active,Dog
Old English Sheepdog,Active,Dog
Nova Scotia Duck Trolling Retriever,Active,Dog
Norwich Terrier,Active,Dog
Norwegian Elkhound,Active,Dog
Norfolk Terrier,Active,Dog
Newfoundland,Active,Dog
Mix - Small,Active,Dog
