Zipcode,City,State,Available,ZipType
90239,DOWNEY,CA,STANDARD,1
90240,DOWNEY,CA,STANDARD,1
90241,DOWNEY,CA,STANDARD,1
90242,DOWNEY,CA,STANDARD,1
90601,WHITTIER,CA,STANDARD,1
90602,WHITTIER,CA,STANDARD,1
90603,WHITTIER,CA,STANDARD,1
90604,WHITTIER,CA,STANDARD,1
90605,WHITTIER,CA,STANDARD,1
90606,WHITTIER,CA,STANDARD,1
90607,WHITTIER,CA,STANDARD,1
90608,WHITTIER,CA,STANDARD,1
90609,WHITTIER,CA,STANDARD,1
90610,WHITTIER,CA,STANDARD,1
90612,WHITTIER,CA,UNIQUE,1
90620,BUENA PARK,CA,STANDARD,1
90621,BUENA PARK,CA,STANDARD,1
90622,BUENA PARK,CA,STANDARD,1
90623,LA PALMA,CA,STANDARD,1
90624,BUENA PARK,CA,STANDARD,1
90630,CYPRESS,CA,STANDARD,1
90631,LA HABRA,CA,STANDARD,1
90632,LA HABRA,CA,STANDARD,1
90633,LA HABRA,CA,STANDARD,1
90637,LA MIRADA,CA,STANDARD,1
90638,LA MIRADA,CA,STANDARD,1
90639,LA MIRADA,CA,UNIQUE,1
90640,MONTEBELLO,CA,STANDARD,1
90650,NORWALK,CA,STANDARD,1
90651,NORWALK,CA,STANDARD,1
90652,NORWALK,CA,STANDARD,1
90659,NORWALK,CA,UNIQUE,1
90660,PICO RIVERA,CA,STANDARD,1
90661,PICO RIVERA,CA,STANDARD,1
90662,PICO RIVERA,CA,STANDARD,1
90665,PICO RIVERA,CA,UNIQUE,1
90670,SANTA FE SPRINGS,CA,STANDARD,1
90671,SANTA FE SPRINGS,CA,STANDARD,1
90680,STANTON,CA,STANDARD,1
90701,ARTESIA,CA,STANDARD,1
90702,ARTESIA,CA,STANDARD,1
90703,CERRITOS,CA,STANDARD,1
90706,BELLFLOWER,CA,STANDARD,1
90707,BELLFLOWER,CA,STANDARD,1
90710,HARBOR CITY,CA,STANDARD,1
90711,LAKEWOOD,CA,STANDARD,1
90712,LAKEWOOD,CA,STANDARD,1
90713,LAKEWOOD,CA,STANDARD,1
90714,LAKEWOOD,CA,STANDARD,1
90715,LAKEWOOD,CA,STANDARD,1
90716,HAWAIIAN GARDENS,CA,STANDARD,1
90717,LOMITA,CA,STANDARD,1
90720,LOS ALAMITOS,CA,STANDARD,1
90721,LOS ALAMITOS,CA,STANDARD,1
90740,SEAL BEACH,CA,STANDARD,1
